all_done,candidate,errors,games,losses,mean_margin,mean_money,min_money,p99_ms,ties,win_rate,wins
1,v024a_route14_control,0,38,28,-4049.7105263157896,121067.8947368421,84047.0,0.240458,0,0.2631578947368421,10
1,v024b_route14_weed,0,38,28,-4454.026315789473,121039.73684210527,85539.0,0.243458,0,0.2631578947368421,10
1,v024c_route14_order_memory,0,38,28,-4454.026315789473,121039.73684210527,85539.0,0.348542,0,0.2631578947368421,10
1,v024d_route14_strict_r3,0,38,28,-4453.605263157895,121039.97368421052,85539.0,0.555459,0,0.2631578947368421,10
