action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seed
2,126195.0,DONE,2,8,428,advance,1,2,431,STRAWBERRY,-232.0,v22,126427.0,DONE,1,loss,0,17
2,126195.0,DONE,2,8,428,advance,1,2,431,STRAWBERRY,-232.0,v22,126427.0,DONE,1,loss,1,17
2,126288.0,DONE,2,8,428,delay,1,2,431,STRAWBERRY,-1.0,v22,126289.0,DONE,1,loss,0,17
2,126288.0,DONE,2,8,428,delay,1,2,431,STRAWBERRY,-1.0,v22,126289.0,DONE,1,loss,1,17
2,126197.0,DONE,2,2,431,advance,1,6,432,STRAWBERRY,-228.0,v22,126425.0,DONE,1,loss,0,17
2,126197.0,DONE,2,2,431,advance,1,6,432,STRAWBERRY,-228.0,v22,126425.0,DONE,1,loss,1,17
2,126287.0,DONE,2,2,431,delay,1,6,432,STRAWBERRY,-4.0,v22,126291.0,DONE,1,loss,0,17
2,126287.0,DONE,2,2,431,delay,1,6,432,STRAWBERRY,-4.0,v22,126291.0,DONE,1,loss,1,17
