actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,136704.0,DONE,1,0,0,-1854.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.325209,fixed_replay,138558.0,DONE,0.009041,0.054125,0.078208,loss,0,90326842,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,136881.0,DONE,1,0,0,-1538.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.277708,fixed_replay,138419.0,DONE,0.008708,0.048042,0.073708,loss,1,90326842,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,145963.0,DONE,1,0,0,1337.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.318,fixed_replay,144626.0,DONE,0.009167,0.054291,0.0825,win,0,90327778,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,140902.0,DONE,1,0,0,-5242.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.24125,fixed_replay,146144.0,DONE,0.00875,0.048458,0.077334,loss,1,90327778,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,131238.0,DONE,1,0,0,-13353.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.287792,fixed_replay,144591.0,DONE,0.009167,0.056916,0.075292,loss,0,90328299,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,121909.0,DONE,1,0,0,-5833.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 481, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 373, 'BUY_LAND': 2, 'SELL_MILK': 682, 'SELL_STRAWBERRY': 636, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.094833,fixed_replay,127742.0,DONE,0.008584,0.044666,0.067708,loss,1,90328299,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,113828.0,DONE,1,0,0,6610.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 450, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 437, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 354, 'BUY_LAND': 2, 'SELL_MILK': 614, 'SELL_STRAWBERRY': 567, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.275334,fixed_replay,107218.0,DONE,0.009083,0.0535,0.075459,win,0,90328370,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,82642.0,DONE,1,0,0,-6041.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 471, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 445, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 367, 'BUY_LAND': 2, 'SELL_MILK': 662, 'SELL_STRAWBERRY': 620, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.239291,fixed_replay,88683.0,DONE,0.008792,0.052167,0.072375,loss,1,90328370,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,113068.0,DONE,1,0,0,-6636.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 458, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 444, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 354, 'BUY_LAND': 2, 'SELL_MILK': 644, 'SELL_STRAWBERRY': 595, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.303834,fixed_replay,119704.0,DONE,0.009167,0.05325,0.074416,loss,0,90328423,,,,,,,
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,111728.0,DONE,1,0,0,-6159.0,"{'HIRE': 306, 'BUY_ANIMAL': 14, 'BUY_SEED': 54, 'SELL': 458, 'SELL_WHEAT': 1108, 'BUY_PRODUCT': 279, 'SELL_FERTILIZER': 444, 'SELL_CARROT': 13, 'SELL_MELON': 224, 'SELL_WOOL': 354, 'BUY_LAND': 2, 'SELL_MILK': 644, 'SELL_STRAWBERRY': 595, 'SELL_TOMATO': 4, 'SELL_EGG': 8}",0.322166,fixed_replay,117887.0,DONE,0.008916,0.056375,0.075709,loss,1,90328423,,,,,,,
