action_diff_calls,action_diff_farmer,action_diff_hands,action_diff_market,calls,candidate,candidate_money,candidate_status,changed_calls,decision_points,diagnostics,done,errors,evaluations,invalid,margin,market_counts,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,predicted_delta,result,seat,seed
0,0,0,0,719,v22,126289.0,DONE,0,0,{},1,0,0,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",60.694,v22,126289.0,DONE,0.1054,0.1919,0.3638,0.0,tie,0,17
0,0,0,0,719,v22,126289.0,DONE,0,0,{},1,0,0,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",83.1722,v22,126289.0,DONE,0.0909,0.1869,0.2846,0.0,tie,1,17
0,0,0,0,719,v028a,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.0505,v22,126289.0,DONE,0.2199,0.4322,0.7977,0.0,tie,0,17
0,0,0,0,719,v028a,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",6.6152,v22,126289.0,DONE,0.1911,0.3702,0.5666,0.0,tie,1,17
0,0,0,0,719,v028b,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",5.0824,v22,126289.0,DONE,0.2202,0.4346,0.8109,0.0,tie,0,17
0,0,0,0,719,v028b,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",4.9203,v22,126289.0,DONE,0.2024,0.3831,0.8489,0.0,tie,1,17
0,0,0,0,719,v028c,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",10.9586,v22,126289.0,DONE,0.2241,0.4497,1.019,0.0,tie,0,17
0,0,0,0,719,v028c,126289.0,DONE,0,29,"{'calls': 719, 'errors': 0, 'evaluations': 89, 'decision_points': 29, 'changed_calls': 0, 'unchanged_calls': 719, 'action_diff_calls': 0, 'action_diff_farmer': 0, 'action_diff_hands': 0, 'action_diff_market': 0, 'predicted_base_revenue': 42028.0, 'predicted_selected_revenue': 42028.0, 'predicted_delta': 0.0, 'permutation_histogram': {}, 'decision_events': []}",1,0,89,0,0.0,"{'SELL_FERTILIZER': 233, 'SELL_WHEAT': 828, 'SELL_WOOL': 164, 'SELL_MILK': 237, 'SELL_MELON': 144, 'SELL_STRAWBERRY': 313}",167.7169,v22,126289.0,DONE,0.2077,0.4222,1.1792,0.0,tie,1,17
