actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source,v024_errors,v024_order_memory_hits,v024_order_memory_reorders,v024_sell_clipped,v024_strict_r3_hits,v024_strict_r3_repayments,v024_strict_r3_units,v024_terminal_liquidations,v024_weed_abandoned,v024_weed_catchup_actions,v024_weed_repairs,v024_weed_retries
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 919, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,52180.0,DONE,1,-651.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.415083,v022c,52831.0,DONE,0.052542,0.093958,0.212875,loss,0,733,local,,,,,,,,,,,,
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,52831.0,DONE,1,651.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.491708,v022c,52180.0,DONE,0.049667,0.0725,0.203875,win,1,733,local,,,,,,,,,,,,
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,101669.0,DONE,1,-5965.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 340, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",24.210916,v022c,107634.0,DONE,0.053959,0.085542,0.204125,loss,0,17,local,0,0,0,29,0,0,0,1,0,0,0,0
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,101669.0,DONE,1,-5965.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 340, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.22925,v022c,107634.0,DONE,0.0495,0.066208,0.075375,loss,1,17,local,0,0,0,29,0,0,0,1,0,0,0,0
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,71417.0,DONE,1,-24033.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.216,v022c,95450.0,DONE,0.054291,0.082292,0.093375,loss,0,42,local,0,0,0,59,0,0,0,1,0,0,0,0
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,69465.0,DONE,1,-32903.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.220458,v022c,102368.0,DONE,0.049166,0.065875,0.07875,loss,1,42,local,0,0,0,59,0,0,0,1,0,0,0,0
"{'PASS': 807, 'PICKUP': 165, 'WEST': 972, 'NORTH': 897, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 916, 'FEED': 314, 'CARE': 322, 'EAST': 735, 'COLLECT_FERTILIZER': 313, 'SOUTH': 633, 'DROP': 103, 'HARVEST': 368, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,97146.0,DONE,1,-25292.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 318, 'SELL_FERTILIZER': 206, 'SELL_WHEAT': 800, 'SELL_WOOL': 156, 'BUY_LAND': 2, 'SELL_MILK': 153, 'SELL_MELON': 82, 'SELL_STRAWBERRY': 242}",0.260167,v022c,122438.0,DONE,0.054125,0.082125,0.118416,loss,0,2026,local,0,0,0,58,0,0,0,1,0,0,0,0
"{'PASS': 807, 'PICKUP': 165, 'WEST': 972, 'NORTH': 897, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 916, 'FEED': 314, 'CARE': 322, 'EAST': 735, 'COLLECT_FERTILIZER': 313, 'SOUTH': 633, 'DROP': 103, 'HARVEST': 368, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,92835.0,DONE,1,-25472.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 206, 'SELL_WHEAT': 797, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 153, 'SELL_MELON': 76, 'SELL_STRAWBERRY': 242}",0.282583,v022c,118307.0,DONE,0.049125,0.064834,0.074166,loss,1,2026,local,0,0,0,58,0,0,0,1,0,0,0,0
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,148257.0,DONE,1,-1177.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 341, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.243042,v022c,149434.0,DONE,0.053625,0.081583,0.09525,loss,0,217,local,0,0,0,29,0,0,0,1,0,0,0,0
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,146664.0,DONE,1,-1257.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 341, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.215416,v022c,147921.0,DONE,0.049083,0.064917,0.077417,loss,1,217,local,0,0,0,29,0,0,0,1,0,0,0,0
