seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,hand_shape_mismatches,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,candidate,opponent,route_file
733,0,123734.0,130337.0,-6603.0,loss,DONE,DONE,1,719,21,0.014792,0.02475,0.05275,0.289625,3.0586567499995,manual_player,v18,89820316
733,1,123663.0,129621.0,-5958.0,loss,DONE,DONE,1,719,21,0.014458,0.019833,0.027542,0.126584,3.0405680000039865,manual_player,v18,89820316
17,0,142484.0,152030.0,-9546.0,loss,DONE,DONE,1,719,21,0.014916,0.026791,0.053708,0.499375,2.8610873330035247,navazsh_fathi,v18,89830910
17,1,149890.0,145139.0,4751.0,win,DONE,DONE,1,719,21,0.0145,0.020458,0.02975,0.161708,3.1567470829977538,navazsh_fathi,v18,89830910
42,0,130739.0,134645.0,-3906.0,loss,DONE,DONE,1,719,21,0.014959,0.031667,0.057583,0.31075,3.0247923330025515,navazsh_fathi,v18,89830910
42,1,130617.0,134662.0,-4045.0,loss,DONE,DONE,1,719,21,0.014542,0.020542,0.030416,0.050166,2.8603371669960325,navazsh_fathi,v18,89830910
2026,0,107806.0,113454.0,-5648.0,loss,DONE,DONE,1,719,21,0.014833,0.022,0.049917,0.454667,3.1419164590042783,navazsh_fathi,v18,89830910
2026,1,105891.0,115527.0,-9636.0,loss,DONE,DONE,1,719,21,0.01475,0.020584,0.0265,0.230209,3.0461479579971638,navazsh_fathi,v18,89830910
217,0,100508.0,105774.0,-5266.0,loss,DONE,DONE,1,719,21,0.014542,0.024041,0.051708,0.195,3.0098930840031244,navazsh_fathi,v18,89830910
217,1,100282.0,105784.0,-5502.0,loss,DONE,DONE,1,719,21,0.014792,0.020333,0.026417,0.304666,2.889460667000094,navazsh_fathi,v18,89830910
317,0,130251.0,136219.0,-5968.0,loss,DONE,DONE,1,719,21,0.014542,0.021917,0.051666,0.373709,3.140573457996652,navazsh_fathi,v18,89830910
