actual_margin_delta,control_margin,done,due,event_index,item,mode,opponent,opponent_cash_delta,own_cash_delta,raw_gain,seat,seed,single_event_margin,source_hash,step,transfer
0.0,0.0,1,432,2,STRAWBERRY,delay,v27_current,0.0,0.0,116.0,1,317,0.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,408,6
189.0,-33.0,1,240,0,WOOL,delay,v27_current,13367.0,13556.0,85.0,0,733,156.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,168,4
202.0,-33.0,1,311,1,WOOL,delay,v27_current,34.0,236.0,436.0,0,733,169.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,240,10
77.0,-33.0,1,381,2,WOOL,delay,v27_current,10.0,87.0,77.0,0,733,44.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,312,3
151.0,43.0,1,240,0,WOOL,delay,v27_current,70.0,221.0,85.0,1,733,194.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,168,4
202.0,43.0,1,311,1,WOOL,delay,v27_current,34.0,236.0,437.0,1,733,245.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,240,10
-23.0,43.0,1,381,2,WOOL,delay,v27_current,97.0,74.0,161.0,1,733,20.0,f48c21166eac68d1b05a401f04f94a2eb6154e65415af64893672365ff33c7b8,312,6
-18816.0,8206.0,1,240,0,WOOL,delay,v14_public,4357.0,-14459.0,315.0,0,17,-10610.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
41.0,8206.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,41.0,41.0,0,17,8247.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
31.0,8206.0,1,408,2,STRAWBERRY,delay,v14_public,7.0,38.0,345.0,0,17,8237.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
-18816.0,8206.0,1,240,0,WOOL,delay,v14_public,4357.0,-14459.0,315.0,1,17,-10610.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
41.0,8206.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,41.0,41.0,1,17,8247.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
31.0,8206.0,1,408,2,STRAWBERRY,delay,v14_public,7.0,38.0,386.0,1,17,8237.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
106.0,16346.0,1,311,0,WOOL,delay,v14_public,0.0,106.0,178.0,0,42,16452.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,240,8
37.0,16346.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,37.0,31.0,0,42,16383.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
-59.0,16346.0,1,408,2,STRAWBERRY,delay,v14_public,50.0,-9.0,256.0,0,42,16287.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
106.0,16346.0,1,311,0,WOOL,delay,v14_public,0.0,106.0,178.0,1,42,16452.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,240,8
37.0,16346.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,37.0,31.0,1,42,16383.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
-59.0,16346.0,1,408,2,STRAWBERRY,delay,v14_public,50.0,-9.0,362.0,1,42,16287.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
106.0,13091.0,1,311,0,WOOL,delay,v14_public,0.0,106.0,178.0,0,2026,13197.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,240,8
45.0,13091.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,45.0,45.0,0,2026,13136.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
-58.0,13091.0,1,408,2,STRAWBERRY,delay,v14_public,51.0,-7.0,361.0,0,2026,13033.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
106.0,13091.0,1,311,0,WOOL,delay,v14_public,0.0,106.0,178.0,1,2026,13197.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,240,8
45.0,13091.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,45.0,45.0,1,2026,13136.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
