actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,143169.0,DONE,1,1005.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.525,v22,142164.0,DONE,0.064833,0.098375,0.203375,win,0,733
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'DIG': 44, 'FERTILIZE': 80}",0,719,v22,142164.0,DONE,1,-1005.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.500416,v22,143169.0,DONE,0.057416,0.081167,0.111959,loss,1,733
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,128677.0,DONE,1,4709.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.346542,v22_route_only,123968.0,DONE,0.065209,0.099,0.216459,win,0,17
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,128677.0,DONE,1,4709.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.389458,v22_route_only,123968.0,DONE,0.058791,0.083583,0.097208,win,1,17
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,130186.0,DONE,1,1437.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.279875,v22_route_only,128749.0,DONE,0.065333,0.096417,0.22625,win,0,42
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,130186.0,DONE,1,1437.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.210833,v22_route_only,128749.0,DONE,0.058875,0.084291,0.105,win,1,42
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 313, 'SOUTH': 637, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 45}",0,719,v22,104501.0,DONE,1,1575.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",20.913833,v22_route_only,102926.0,DONE,0.065458,0.101209,0.211792,win,0,2026
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,104543.0,DONE,1,1659.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.279833,v22_route_only,102884.0,DONE,0.059541,0.082875,0.098708,win,1,2026
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v22,107560.0,DONE,1,1424.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",26.763375,v22_route_only,106136.0,DONE,0.067416,0.102458,0.236125,win,0,217
"{'PASS': 811, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'DIG': 44, 'FERTILIZE': 80}",0,719,v22,107560.0,DONE,1,1424.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 344, 'BUY_LAND': 2}",0.404958,v22_route_only,106136.0,DONE,0.059,0.083708,0.100208,win,1,217
