all_done,candidate,errors,games,invalid,losses,max_action_diff_calls,max_action_diff_farmer,max_action_diff_hands,max_action_diff_market,mean_margin,mean_money,mean_shifted_melon,mean_shifted_strawberry,min_money,mirror_latched_games,mirror_releases,opponent,p99_ms_max,ties,win_rate,wins
1,v027a,0,2,0,2,2,0,0,2,-249.0,126214.0,1,0,126214.0,0,0,v22,0.3856,0,0.0,0
1,v027b,0,2,0,0,0,0,0,0,0.0,126289.0,0,0,126289.0,0,0,v22,0.3609,2,0.0,0
1,v027c,0,2,0,0,0,0,0,0,0.0,126289.0,0,0,126289.0,0,0,v22,0.3728,2,0.0,0
1,v22,0,2,0,0,0,0,0,0,0.0,126289.0,0,0,126289.0,0,0,v22,0.211,2,0.0,0
