all_done,candidate,errors,games,losses,mean_margin,mean_money,min_money,opponent,p99_ms,ties,win_rate,wins
1,v024a_route14_control,0,2,0,187831.0,191345.0,191345.0,starter,0.223708,0,1.0,2
1,v024b_route14_weed,0,2,0,187831.0,191345.0,191345.0,starter,0.243542,0,1.0,2
1,v024c_route14_order_memory,0,2,0,187831.0,191345.0,191345.0,starter,0.342959,0,1.0,2
1,v024d_route14_strict_r3,1296,2,2,-3509.0,5.0,5.0,starter,0.366125,0,0.0,0
