agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
0,719,v022c_hybrid,66157.0,DONE,1,-10777.0,0.422458,v13_r3,76934.0,DONE,0.193208,0.220667,0.237417,loss,1,42
0,719,v022c_hybrid,91809.0,DONE,1,-11440.0,0.404917,v13_r3,103249.0,DONE,0.199375,0.22675,0.261334,loss,0,2026
0,719,v022c_hybrid,92212.0,DONE,1,-10958.0,0.258208,v13_r3,103170.0,DONE,0.193583,0.22075,0.239167,loss,1,2026
0,719,v022c_hybrid,136996.0,DONE,1,-18323.0,0.330334,v13_r3,155319.0,DONE,0.199292,0.228083,0.306375,loss,0,217
0,719,v022c_hybrid,138686.0,DONE,1,-18551.0,0.314166,v13_r3,157237.0,DONE,0.193291,0.219625,0.234667,loss,1,217
0,719,v022c_hybrid,85623.0,DONE,1,-9259.0,27.338958,v13_r3,94882.0,DONE,0.197208,0.224834,0.242417,loss,0,317
0,719,v022c_hybrid,85518.0,DONE,1,-9361.0,0.250375,v13_r3,94879.0,DONE,0.19275,0.219459,0.234542,loss,1,317
0,719,v022c_hybrid,96873.0,DONE,1,-11805.0,30.060167,v13_r3,108678.0,DONE,0.198542,0.23125,0.2835,loss,0,733
0,719,v022c_hybrid,91655.0,DONE,1,-11549.0,0.249917,v13_r3,103204.0,DONE,0.193584,0.219125,0.229083,loss,1,733
0,719,v13_r3,101176.0,DONE,1,8293.0,0.398417,v022c,92883.0,DONE,0.123166,0.159166,0.273375,win,0,17
0,719,v13_r3,101176.0,DONE,1,8293.0,0.302875,v022c,92883.0,DONE,0.113,0.146458,0.157916,win,1,17
0,719,v13_r3,76934.0,DONE,1,10778.0,0.354542,v022c,66156.0,DONE,0.122958,0.158333,0.227833,win,0,42
0,719,v13_r3,77016.0,DONE,1,11205.0,21.394584,v022c,65811.0,DONE,0.11325,0.148,0.168459,win,1,42
0,719,v13_r3,103170.0,DONE,1,10959.0,0.482375,v022c,92211.0,DONE,0.122583,0.155042,0.265167,win,0,2026
0,719,v13_r3,103249.0,DONE,1,11441.0,0.41,v022c,91808.0,DONE,0.114458,0.146625,0.163833,win,1,2026
0,719,v13_r3,157237.0,DONE,1,18552.0,28.38325,v022c,138685.0,DONE,0.123875,0.157166,0.275042,win,0,217
0,719,v13_r3,155319.0,DONE,1,18324.0,0.273958,v022c,136995.0,DONE,0.113667,0.145709,0.1635,win,1,217
