all_done,candidate,errors,games,losses,mean_margin,mean_money,min_money,opponent,p99_ms_max,score_rate,ties,win_rate,wins
1,v022c,0,12,12,-125677.33333333333,23365.75,1816.0,v022c_hybrid,0.2035,0.0,0,0.0,0
1,v022c,0,12,12,-11653.5,94756.5,65811.0,v13_r3,0.193583,0.0,0,0.0,0
1,v022c_hybrid,0,12,0,125677.33333333333,149043.08333333334,23123.0,v022c,0.326666,1.0,0,1.0,12
1,v022c_hybrid,0,12,12,-11650.916666666666,94759.08333333333,65812.0,v13_r3,0.313542,0.0,0,0.0,0
1,v13_r3,0,12,0,11653.5,106410.0,76934.0,v022c,0.300875,1.0,0,1.0,12
1,v13_r3,0,12,0,11650.916666666666,106410.0,76934.0,v022c_hybrid,0.236458,1.0,0,1.0,12
