actions,agent_errors,calls,candidate,candidate_money,candidate_status,diag_errors,diag_market_overlay_active,diag_market_overlay_calls,diag_market_reorders,diag_market_sell_units,diag_mirror_latches,diag_mirror_releases,diag_sell_clipped,diag_terminal_liquidations,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source
"{'PASS': 795, 'PICKUP': 165, 'WEST': 975, 'NORTH': 899, 'BUILD_PASTURE': 14, 'PLACE': 13, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 736, 'COLLECT_FERTILIZER': 312, 'SOUTH': 635, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,94347.0,DONE,0,7,718,0,7,2,2,68,1,1,-37592.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 309, 'SELL_FERTILIZER': 190, 'SELL_WHEAT': 819, 'SELL_WOOL': 162, 'BUY_LAND': 2, 'SELL_MILK': 135, 'SELL_MELON': 60, 'SELL_STRAWBERRY': 211}",0.342792,v022c,131939.0,DONE,0.080542,0.103542,0.134958,loss,0,733,local
"{'PASS': 795, 'PICKUP': 165, 'WEST': 975, 'NORTH': 899, 'BUILD_PASTURE': 14, 'PLACE': 13, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 736, 'COLLECT_FERTILIZER': 312, 'SOUTH': 635, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025a_route14_v022c_market,94458.0,DONE,0,7,718,0,7,2,2,69,1,1,-37832.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 308, 'SELL_FERTILIZER': 191, 'SELL_WHEAT': 819, 'SELL_WOOL': 162, 'BUY_LAND': 2, 'SELL_MILK': 135, 'SELL_MELON': 62, 'SELL_STRAWBERRY': 204}",8.276625,v022c,132290.0,DONE,0.076375,0.091792,0.107584,loss,1,733,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,101645.0,DONE,0,694,718,45,1894,2,2,25,1,1,-5987.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.318583,v022c,107632.0,DONE,0.116292,0.14325,0.184375,loss,0,17,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,101645.0,DONE,0,694,718,45,1894,2,2,25,1,1,-5987.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.322,v022c,107632.0,DONE,0.116417,0.140708,0.184417,loss,1,17,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,76261.0,DONE,0,694,718,45,1889,2,2,27,1,1,-5586.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 334, 'SELL_FERTILIZER': 224, 'SELL_WHEAT': 806, 'SELL_WOOL': 143, 'BUY_LAND': 2, 'SELL_MILK': 215, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 293}",0.835958,v022c,81847.0,DONE,0.125083,0.21125,0.449875,loss,0,42,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,74707.0,DONE,0,694,718,46,1889,2,2,27,1,1,-6065.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 334, 'SELL_FERTILIZER': 224, 'SELL_WHEAT': 806, 'SELL_WOOL': 143, 'BUY_LAND': 2, 'SELL_MILK': 215, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 293}",0.324417,v022c,80772.0,DONE,0.116125,0.140375,0.171417,loss,1,42,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,99931.0,DONE,0,694,718,45,1894,2,2,24,1,1,-2920.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 337, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",27.493958,v022c,102851.0,DONE,0.117917,0.139708,0.159833,loss,0,2026,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,100007.0,DONE,0,694,718,45,1888,2,2,23,1,1,-3246.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 338, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 225, 'SELL_MELON': 108, 'SELL_STRAWBERRY': 286}",0.29525,v022c,103253.0,DONE,0.113291,0.135708,0.150625,loss,1,2026,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,148307.0,DONE,0,694,718,42,1895,2,2,25,1,1,-1075.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 338, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",29.705209,v022c,149382.0,DONE,0.122458,0.151166,0.264625,loss,0,217,local
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v025b_route14_v022c_open_market,146714.0,DONE,0,694,718,42,1895,2,2,25,1,1,-1155.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 338, 'SELL_FERTILIZER': 223, 'SELL_WHEAT': 811, 'SELL_WOOL': 155, 'BUY_LAND': 2, 'SELL_MILK': 223, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.342042,v022c,147869.0,DONE,0.117,0.143667,0.160459,loss,1,217,local
