phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
calibration,macro_016_13_8_6_30_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.827875,6.042834,10.121701167008723
calibration,macro_017_13_8_6_38_10_9,baseline,2,83665.5,80922.0,86409.0,-33089.0,0,0,2,0.0,1,0,0,5.456792,7.565917,11.409800165994966
calibration,macro_017_13_8_6_38_10_9,v012,2,85878.5,83789.0,87968.0,-77172.5,0,0,2,0.0,1,0,0,4.945292,7.292583,10.183088208010304
calibration,macro_018_13_8_6_42_10_9,baseline,2,80954.0,74322.0,87586.0,-30552.5,0,0,2,0.0,1,0,0,4.476125,6.69775,11.576449917003629
calibration,macro_018_13_8_6_42_10_9,v012,2,84581.0,82070.0,87092.0,-79049.5,0,0,2,0.0,1,0,0,4.494583,6.552042,10.414585708997038
calibration,macro_019_13_8_6_34_6_9,baseline,2,83305.0,81535.0,85075.0,-32818.0,0,0,2,0.0,1,0,0,5.105375,86.927208,11.571203123996384
calibration,macro_019_13_8_6_34_6_9,v012,2,76587.5,71505.0,81670.0,-84305.5,0,0,2,0.0,1,0,0,5.056625,73.468,10.540160291006032
calibration,macro_020_13_8_6_34_8_9,baseline,2,82265.5,81270.0,83261.0,-38933.5,0,0,2,0.0,1,0,0,4.694208,6.724917,11.612503540993202
calibration,macro_020_13_8_6_34_8_9,v012,2,74261.0,58477.0,90045.0,-84594.0,0,0,2,0.0,1,0,0,5.155792,60.359333,10.352081707998877
calibration,macro_021_13_8_6_34_12_9,baseline,2,86110.0,82981.0,89239.0,-33716.5,0,0,2,0.0,1,0,0,5.0845,15.680125,12.170745957999316
calibration,macro_021_13_8_6_34_12_9,v012,2,91591.0,87892.0,95290.0,-68966.5,0,0,2,0.0,1,0,0,4.486541,74.443167,10.683359666007163
calibration,macro_022_13_8_6_34_14_9,baseline,2,86110.0,82981.0,89239.0,-33716.5,0,0,2,0.0,1,0,0,5.672083,21.023458,12.190917291991354
calibration,macro_022_13_8_6_34_14_9,v012,2,91591.0,87892.0,95290.0,-68966.5,0,0,2,0.0,1,0,0,5.173208,9.946583,10.871913000992208
calibration,macro_023_13_8_6_34_10_7,baseline,2,85010.0,72998.0,97022.0,-38633.0,0,0,2,0.0,1,0,0,5.052417,7.417542,11.64396158400632
calibration,macro_023_13_8_6_34_10_7,v012,2,75804.0,60058.0,91550.0,-87602.5,0,0,2,0.0,1,0,0,4.609084,6.39525,10.52076025000133
calibration,macro_024_13_8_6_34_10_8,baseline,2,82091.5,81593.0,82590.0,-42224.0,0,0,2,0.0,1,0,0,4.723916,75.76175,11.568818500003545
calibration,macro_024_13_8_6_34_10_8,v012,2,83335.0,69307.0,97363.0,-83952.0,0,0,2,0.0,1,0,0,5.106042,81.132667,10.441758790999302
calibration,macro_025_13_8_6_34_10_10,baseline,2,81293.0,72714.0,89872.0,-30824.0,0,0,2,0.0,1,0,0,4.755542,24.429417,12.595049750001635
calibration,macro_025_13_8_6_34_10_10,v012,2,84270.5,80142.0,88399.0,-76771.5,0,0,2,0.0,1,0,0,5.040375,6.688208,11.041000625002198
calibration,macro_026_13_8_6_34_10_11,baseline,2,75677.5,73880.0,77475.0,-32664.0,0,0,2,0.0,1,0,0,5.303041,15.945583,13.108619999999064
calibration,macro_026_13_8_6_34_10_11,v012,2,83548.5,78422.0,88675.0,-77132.5,0,0,2,0.0,1,0,0,5.009042,52.385792,11.916403832998185
calibration,macro_027_13_8_6_34_10_9,baseline,2,84112.0,71185.0,97039.0,-38574.5,0,0,2,0.0,1,0,0,4.754583,7.206167,12.091128084000957
calibration,macro_027_13_8_6_34_10_9,v012,2,73904.0,69786.0,78022.0,-76093.5,0,0,2,0.0,1,0,0,4.981334,7.054375,11.512801874996512
calibration,macro_028_13_8_6_34_10_9,baseline,2,88410.0,87765.0,89055.0,-26802.5,0,0,2,0.0,1,0,0,4.797958,7.553041,12.305328709000605
calibration,macro_028_13_8_6_34_10_9,v012,2,79114.5,69308.0,88921.0,-74414.5,0,0,2,0.0,1,0,0,4.640625,7.031,10.983103250000568
calibration,macro_029_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.189417,6.958625,12.311832540995965
calibration,macro_029_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.048,7.411166,11.08356145700236
calibration,macro_030_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.910166,123.915541,12.445632207993185
calibration,macro_030_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.1155,6.297334,11.07340866800223
calibration,macro_031_13_8_6_34_10_9,baseline,2,84557.0,79702.0,89412.0,-43063.5,0,0,2,0.0,1,0,0,5.339667,6.680208,12.346830875001615
calibration,macro_031_13_8_6_34_10_9,v012,2,74154.0,74055.0,74253.0,-86937.5,0,0,2,0.0,1,0,0,5.558625,7.551125,11.160515748997568
calibration,macro_032_13_8_6_34_10_9,baseline,2,80163.5,79250.0,81077.0,-40732.0,0,0,2,0.0,1,0,0,5.432125,13.350875,13.249548749998212
calibration,macro_032_13_8_6_34_10_9,v012,2,72603.5,72308.0,72899.0,-91780.0,0,0,2,0.0,1,0,0,6.556542,23.072708,11.743791834000149
calibration,macro_033_13_8_6_34_10_9,baseline,2,81398.0,78155.0,84641.0,-30379.0,0,0,2,0.0,1,0,0,4.781458,6.934417,12.418405249998614
calibration,macro_033_13_8_6_34_10_9,v012,2,73207.5,62980.0,83435.0,-80763.0,0,0,2,0.0,1,0,0,5.207375,15.086167,11.97665616699669
calibration,macro_034_13_8_6_34_10_9,baseline,2,85067.5,81498.0,88637.0,-36696.0,0,0,2,0.0,1,0,0,4.590833,6.683625,12.719597876006446
calibration,macro_034_13_8_6_34_10_9,v012,2,73513.5,64929.0,82098.0,-76621.5,0,0,2,0.0,1,0,0,4.838333,6.434125,11.369607291999273
calibration,macro_035_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.237584,7.060041,12.629706458006694
calibration,macro_035_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.856458,6.664167,11.162037374997453
calibration,macro_036_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.317208,16.299584,13.54362100000435
calibration,macro_036_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.653792,6.844,11.50522141699912
calibration,macro_037_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.771291,7.264584,13.550337624998065
calibration,macro_037_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.378166,11.77,12.268491709000955
calibration,macro_038_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.632833,35.580667,13.487336582998978
calibration,macro_038_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.136917,77.536792,11.762928791002196
calibration,macro_039_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.938458,25.1925,14.239754292000725
calibration,macro_039_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.127416,11.9075,12.413040708001063
calibration,macro_040_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.133833,68.968166,13.688491082997643
calibration,macro_040_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.176667,103.060458,12.459059375003562
calibration,macro_041_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,6.144125,77.414416,13.157395834001363
calibration,macro_041_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.764834,15.75475,12.005738665997342
calibration,macro_042_13_8_6_34_10_9,baseline,2,81920.0,77743.0,86097.0,-33794.5,0,0,2,0.0,1,0,0,4.525375,99.738125,13.025675584001874
calibration,macro_042_13_8_6_34_10_9,v012,2,83257.5,82977.0,83538.0,-83554.5,0,0,2,0.0,1,0,0,5.204708,14.657541,11.990602917001524
calibration,macro_043_13_8_6_34_10_9,baseline,2,80740.0,77306.0,84174.0,-36600.0,0,0,2,0.0,1,0,0,4.535875,68.579875,13.029134917000192
calibration,macro_043_13_8_6_34_10_9,v012,2,87764.5,83828.0,91701.0,-85644.5,0,0,2,0.0,1,0,0,4.422584,6.214875,11.744816417005495
