phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
final,macro_075_13_8_6_34_12_9,hamburger,12,85348.33333333333,75688.0,95221.0,-74169.83333333333,0,0,12,0.0,1,0,0,6.297917,152.884792,84.75612666799861
final,macro_075_13_8_6_34_12_9,v012,12,85559.66666666667,73205.0,95290.0,-74525.75,0,0,12,0.0,1,0,0,5.908083,47.635666,78.63913879200845
final,macro_075_13_8_6_34_12_9,v18,12,85565.83333333333,73211.0,95296.0,-73579.0,0,0,12,0.0,1,0,0,5.820125,154.690833,79.56386579101672
final,macro_090_13_9_6_34_10_9,baseline,12,88945.25,85033.0,96569.0,-25732.083333333332,0,0,12,0.0,1,0,0,5.54025,41.087291,90.24249583301571
final,macro_090_13_9_6_34_10_9,frontier,12,78564.0,64041.0,92200.0,-70277.58333333333,0,0,12,0.0,1,0,0,6.467084,171.951834,85.11315287600883
final,macro_090_13_9_6_34_10_9,hamburger,12,78358.91666666667,65865.0,92502.0,-74286.16666666667,0,0,12,0.0,1,0,0,6.585958,13.541042,84.58626133699727
final,macro_090_13_9_6_34_10_9,v012,12,78608.58333333333,68847.0,88921.0,-74701.08333333333,0,0,12,0.0,1,0,0,6.617167,24.635834,89.03803329198854
final,macro_090_13_9_6_34_10_9,v18,12,78614.91666666667,68853.0,88927.0,-74065.16666666667,0,0,12,0.0,1,0,0,7.31,24.915917,85.3494600820195
final,v012_control,baseline,12,155481.91666666666,138456.0,169035.0,52017.083333333336,12,0,0,1.0,1,0,0,0.294958,122.552333,70.7063047059928
final,v012_control,frontier,12,121499.16666666667,102261.0,148369.0,8443.0,11,0,1,0.9166666666666666,1,0,0,0.223208,150.8905,62.65166845900967
final,v012_control,hamburger,12,141606.66666666666,101598.0,166518.0,17285.833333333332,12,0,0,1.0,1,0,0,0.33575,1.4875,64.216009208998
final,v012_control,v012,12,124677.41666666667,103313.0,149929.0,0.0,6,0,6,0.5,1,0,0,0.20825,0.917208,65.0293967089965
final,v012_control,v18,12,125111.25,103410.0,150270.0,404.0833333333333,10,0,2,0.8333333333333334,1,0,0,0.351959,171.500584,69.22450845899584
