phase,candidate,config,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,agent_errors,invalid_actions,action_calls,runtime_p99_ms,runtime_max_ms,wall_seconds,field_counts,market_counts
calibration,macro_013_13_8_7_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 7, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,42,0,87296.0,177475.0,-90179.0,loss,DONE,DONE,1,0,0,719,4.328666,6.09075,4.861472917000356,"{""BUILD_PASTURE"": 14, ""CARE"": 271, ""COLLECT_FERTILIZER"": 212, ""DIG"": 1, ""DROP"": 39, ""EAST"": 952, ""FEED"": 181, ""FERTILIZE"": 88, ""HARVEST"": 204, ""NORTH"": 1329, ""PASS"": 2178, ""PICKUP"": 90, ""PLACE"": 18, ""PLANT"": 75, ""SOUTH"": 870, ""WATER"": 811, ""WEST"": 1318}","{""BUY_ANIMAL"": 12, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 179, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 91}"
calibration,macro_013_13_8_7_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 7, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,17,0,87407.0,122051.0,-34644.0,loss,DONE,DONE,1,0,0,719,4.575,6.096791,5.5611066250057775,"{""BUILD_PASTURE"": 14, ""CARE"": 273, ""COLLECT_FERTILIZER"": 215, ""DIG"": 1, ""DROP"": 39, ""EAST"": 1013, ""FEED"": 179, ""FERTILIZE"": 91, ""HARVEST"": 209, ""NORTH"": 1262, ""PASS"": 2193, ""PICKUP"": 92, ""PLACE"": 18, ""PLANT"": 76, ""SOUTH"": 840, ""WATER"": 812, ""WEST"": 1325}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 171, ""BUY_SEED"": 18, ""HIRE"": 352, ""SELL"": 95}"
calibration,macro_013_13_8_7_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 7, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,42,0,79899.0,108627.0,-28728.0,loss,DONE,DONE,1,0,0,719,4.09825,5.645375,5.603517499999725,"{""BUILD_PASTURE"": 14, ""CARE"": 273, ""COLLECT_FERTILIZER"": 211, ""DIG"": 1, ""DROP"": 32, ""EAST"": 998, ""FEED"": 180, ""FERTILIZE"": 86, ""HARVEST"": 211, ""NORTH"": 1297, ""PASS"": 2165, ""PICKUP"": 91, ""PLACE"": 18, ""PLANT"": 75, ""SOUTH"": 854, ""WATER"": 808, ""WEST"": 1332}","{""BUY_ANIMAL"": 12, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 178, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 89}"
calibration,macro_014_13_8_8_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 8, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,17,0,83302.0,153056.0,-69754.0,loss,DONE,DONE,1,0,0,719,5.64525,9.030791,5.053621250001015,"{""BUILD_PASTURE"": 14, ""CARE"": 274, ""COLLECT_FERTILIZER"": 217, ""DIG"": 1, ""DROP"": 36, ""EAST"": 974, ""FEED"": 178, ""FERTILIZE"": 93, ""HARVEST"": 208, ""NORTH"": 1308, ""PASS"": 2238, ""PICKUP"": 96, ""PLACE"": 19, ""PLANT"": 76, ""SOUTH"": 828, ""WATER"": 817, ""WEST"": 1275}","{""BUY_ANIMAL"": 12, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 170, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 88}"
calibration,macro_014_13_8_8_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 8, ""strawberries"": 34, ""use_fixed_schedule"": false}",v012,42,0,94389.0,176283.0,-81894.0,loss,DONE,DONE,1,0,0,719,4.036958,5.935,4.990434042003471,"{""BUILD_PASTURE"": 14, ""CARE"": 267, ""COLLECT_FERTILIZER"": 213, ""DIG"": 1, ""DROP"": 33, ""EAST"": 995, ""FEED"": 185, ""FERTILIZE"": 90, ""HARVEST"": 217, ""NORTH"": 1301, ""PASS"": 2175, ""PICKUP"": 85, ""PLACE"": 15, ""PLANT"": 75, ""SOUTH"": 842, ""WATER"": 807, ""WEST"": 1333}","{""BUY_ANIMAL"": 9, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 182, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 84}"
calibration,macro_014_13_8_8_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 8, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,17,0,88643.0,122005.0,-33362.0,loss,DONE,DONE,1,0,0,719,4.155875,4.994459,5.7767372079979395,"{""BUILD_PASTURE"": 14, ""CARE"": 276, ""COLLECT_FERTILIZER"": 218, ""DIG"": 1, ""DROP"": 39, ""EAST"": 1017, ""FEED"": 179, ""FERTILIZE"": 94, ""HARVEST"": 212, ""NORTH"": 1285, ""PASS"": 2171, ""PICKUP"": 88, ""PLACE"": 18, ""PLANT"": 76, ""SOUTH"": 833, ""WATER"": 816, ""WEST"": 1314}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 170, ""BUY_SEED"": 18, ""HIRE"": 352, ""SELL"": 92}"
calibration,macro_014_13_8_8_34_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 8, ""strawberries"": 34, ""use_fixed_schedule"": false}",baseline,42,0,83169.0,108260.0,-25091.0,loss,DONE,DONE,1,0,0,719,4.570208,6.262667,5.635622834000969,"{""BUILD_PASTURE"": 14, ""CARE"": 269, ""COLLECT_FERTILIZER"": 213, ""DIG"": 1, ""DROP"": 32, ""EAST"": 973, ""FEED"": 185, ""FERTILIZE"": 94, ""HARVEST"": 219, ""NORTH"": 1321, ""PASS"": 2160, ""PICKUP"": 84, ""PLACE"": 15, ""PLANT"": 75, ""SOUTH"": 855, ""WATER"": 808, ""WEST"": 1330}","{""BUY_ANIMAL"": 9, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 182, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 84}"
calibration,macro_015_13_8_6_28_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 28, ""use_fixed_schedule"": false}",v012,17,0,79256.0,152509.0,-73253.0,loss,DONE,DONE,1,0,0,719,4.269875,6.328541,4.979926708001585,"{""BUILD_PASTURE"": 14, ""CARE"": 272, ""COLLECT_FERTILIZER"": 215, ""DIG"": 1, ""DROP"": 39, ""EAST"": 981, ""FEED"": 183, ""FERTILIZE"": 92, ""HARVEST"": 206, ""NORTH"": 1294, ""PASS"": 2173, ""PICKUP"": 96, ""PLACE"": 17, ""PLANT"": 75, ""SOUTH"": 851, ""WATER"": 808, ""WEST"": 1334}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 180, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 88}"
calibration,macro_015_13_8_6_28_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 28, ""use_fixed_schedule"": false}",v012,42,0,90861.0,171806.0,-80945.0,loss,DONE,DONE,1,0,0,719,4.141542,6.772333,5.1152189999993425,"{""BUILD_PASTURE"": 14, ""CARE"": 270, ""COLLECT_FERTILIZER"": 207, ""DIG"": 3, ""DROP"": 37, ""EAST"": 973, ""FEED"": 189, ""FERTILIZE"": 87, ""HARVEST"": 206, ""NORTH"": 1281, ""PASS"": 2222, ""PICKUP"": 91, ""PLACE"": 17, ""PLANT"": 76, ""SOUTH"": 840, ""WATER"": 809, ""WEST"": 1331}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 182, ""BUY_SEED"": 18, ""HIRE"": 352, ""SELL"": 89}"
calibration,macro_015_13_8_6_28_10_9,"{""animal_ne_day"": 8, ""animal_nw_day"": 4, ""animal_sw_day"": 12, ""cash_reserve"": 150, ""cows"": 8, ""feed_days_buffer"": 1, ""hands"": 13, ""land_ne_day"": 5, ""land_sw_day"": 10, ""ongoing_harvest_threshold"": 3, ""opening_animals"": 2, ""opening_carrots"": 2, ""opening_melons"": 9, ""opening_wheat"": 10, ""sheep"": 6, ""strawberries"": 28, ""use_fixed_schedule"": false}",baseline,17,0,87202.0,119699.0,-32497.0,loss,DONE,DONE,1,0,0,719,4.386375,6.223083,5.7017687920015305,"{""BUILD_PASTURE"": 14, ""CARE"": 265, ""COLLECT_FERTILIZER"": 215, ""DIG"": 1, ""DROP"": 32, ""EAST"": 1009, ""FEED"": 188, ""FERTILIZE"": 93, ""HARVEST"": 211, ""NORTH"": 1264, ""PASS"": 2207, ""PICKUP"": 94, ""PLACE"": 17, ""PLANT"": 75, ""SOUTH"": 827, ""WATER"": 812, ""WEST"": 1329}","{""BUY_ANIMAL"": 11, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 183, ""BUY_SEED"": 17, ""HIRE"": 352, ""SELL"": 88}"
