candidate,candidate_money,candidate_probe,candidate_status,diagnostics,done,margin,mechanism,mechanism_sha256,opponent,opponent_money,opponent_probe,opponent_status,result,route,route_harvest_count,route_macro,route_max_hands,route_plant_count,route_sha256,route_water_count,seat,seed
rl010,41773.0,"{'calls': 719, 'errors': 0, 'invalid': 0, 'p50_ms': 0.073417, 'p95_ms': 0.159125, 'p99_ms': 0.274792, 'max_ms': 25.085709, 'ops': {'PASS': 982, 'PICKUP': 135, 'WEST': 808, 'NORTH': 834, 'BUILD_PASTURE': 13, 'PLACE': 13, 'PLANT': 198, 'FEED': 290, 'WATER': 1007, 'CARE': 285, 'SOUTH': 550, 'EAST': 631, 'COLLECT_FERTILIZER': 296, 'HARVEST': 388, 'DROP': 56, 'DIG': 50, 'FERTILIZE': 72}, 'sell_units': {'FERTILIZER': 235, 'WHEAT': 455, 'WOOL': 132, 'MILK': 241, 'MELON': 114, 'STRAWBERRY': 286}}",DONE,"{'interventions': 0, 'advance_units': 0, 'delay_units': 0, 'repayment_successes': 0, 'repayment_failures': 0, 'fallbacks': 23, 'runtime_errors': 0}",1,38278.0,rl010,,starter,3495.0,{},DONE,W,builtin_or_external,0,unknown,0,0,,0,0,17
rl010,44679.0,"{'calls': 719, 'errors': 0, 'invalid': 0, 'p50_ms': 0.072792, 'p95_ms': 0.136417, 'p99_ms': 0.221667, 'max_ms': 0.41375, 'ops': {'PASS': 983, 'PICKUP': 135, 'WEST': 808, 'NORTH': 834, 'BUILD_PASTURE': 13, 'PLACE': 13, 'PLANT': 198, 'FEED': 290, 'WATER': 1007, 'CARE': 285, 'SOUTH': 550, 'EAST': 631, 'COLLECT_FERTILIZER': 296, 'HARVEST': 388, 'DROP': 56, 'DIG': 49, 'FERTILIZE': 72}, 'sell_units': {'FERTILIZER': 235, 'WHEAT': 455, 'WOOL': 132, 'MILK': 241, 'MELON': 114, 'STRAWBERRY': 286}}",DONE,"{'interventions': 0, 'advance_units': 0, 'delay_units': 0, 'repayment_successes': 0, 'repayment_failures': 0, 'fallbacks': 23, 'runtime_errors': 0}",1,41192.0,rl010,,starter,3487.0,{},DONE,W,builtin_or_external,0,unknown,0,0,,0,1,17
