actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,16100.0,DONE,1,0,0,-151115.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",0.261125,fixed_replay,167215.0,DONE,0.048833,0.093167,0.131958,loss,0,90326842,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,16101.0,DONE,1,0,0,-151028.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",0.387958,fixed_replay,167129.0,DONE,0.049042,0.090875,0.117958,loss,1,90326842,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,21757.0,DONE,1,0,0,-164552.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",0.346666,fixed_replay,186309.0,DONE,0.049375,0.093875,0.220833,loss,0,90327778,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,21681.0,DONE,1,0,0,-163145.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",0.40525,fixed_replay,184826.0,DONE,0.049,0.092875,0.124417,loss,1,90327778,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,16893.0,DONE,1,0,0,-163731.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",0.269916,fixed_replay,180624.0,DONE,0.050125,0.090542,0.155875,loss,0,90328299,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 315, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DIG': 63, 'DROP': 100, 'FERTILIZE': 73}",719,v023d_early_portfolio,20178.0,DONE,1,0,0,-157359.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 77, 'SELL_WHEAT': 780, 'BUY_LAND': 2, 'SELL_MILK': 97, 'SELL_MELON': 29}",0.424,fixed_replay,177537.0,DONE,0.04775,0.089958,0.146083,loss,1,90328299,1,high_output_14hands,131,1,117,19,19
"{'BUILD_PASTURE': 12, 'NORTH': 907, 'WEST': 920, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 147, 'WATER': 911, 'EAST': 670, 'SOUTH': 595, 'FEED': 316, 'CARE': 321, 'PASS': 991, 'COLLECT_FERTILIZER': 247, 'HARVEST': 370, 'DROP': 100, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,17797.0,DONE,1,0,0,-154083.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 223, 'SELL_FERTILIZER': 81, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 98, 'SELL_MELON': 29}",497.264584,fixed_replay,171880.0,DONE,0.050334,0.094125,0.226792,loss,0,90328370,1,high_output_14hands,131,1,103,17,17
"{'BUILD_PASTURE': 11, 'NORTH': 915, 'WEST': 928, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 154, 'WATER': 925, 'EAST': 673, 'SOUTH': 608, 'FEED': 316, 'CARE': 322, 'PASS': 968, 'COLLECT_FERTILIZER': 248, 'HARVEST': 371, 'DROP': 101, 'DIG': 53, 'FERTILIZE': 73}",719,v023d_early_portfolio,51727.0,DONE,1,0,0,-85197.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 260, 'SELL_FERTILIZER': 75, 'SELL_WHEAT': 812, 'BUY_LAND': 2, 'SELL_MILK': 125, 'SELL_MELON': 75, 'SELL_WOOL': 42, 'SELL_STRAWBERRY': 114}",0.395375,fixed_replay,136924.0,DONE,0.048458,0.087375,0.2305,loss,1,90328370,1,high_output_14hands,97,1,56,8,8
"{'BUILD_PASTURE': 12, 'NORTH': 900, 'WEST': 911, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 143, 'WATER': 903, 'EAST': 663, 'SOUTH': 591, 'FEED': 316, 'CARE': 319, 'PASS': 972, 'COLLECT_FERTILIZER': 244, 'HARVEST': 368, 'DROP': 99, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,11799.0,DONE,1,0,0,-141239.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 227, 'SELL_FERTILIZER': 80, 'SELL_WHEAT': 778, 'BUY_LAND': 2, 'SELL_MILK': 96, 'SELL_MELON': 23, 'SELL_STRAWBERRY': 6}",493.817,fixed_replay,153038.0,DONE,0.049792,0.092834,0.230167,loss,0,90328423,1,high_output_14hands,130,1,104,18,18
"{'BUILD_PASTURE': 12, 'NORTH': 900, 'WEST': 911, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 143, 'WATER': 903, 'EAST': 663, 'SOUTH': 591, 'FEED': 316, 'CARE': 319, 'PASS': 972, 'COLLECT_FERTILIZER': 244, 'HARVEST': 368, 'DROP': 99, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,11466.0,DONE,1,0,0,-140080.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 226, 'SELL_FERTILIZER': 80, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 96, 'SELL_MELON': 23, 'SELL_STRAWBERRY': 6}",0.3535,fixed_replay,151546.0,DONE,0.047667,0.083875,0.112375,loss,1,90328423,1,high_output_14hands,131,1,97,17,17
"{'BUILD_PASTURE': 12, 'NORTH': 900, 'WEST': 911, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 143, 'WATER': 903, 'EAST': 663, 'SOUTH': 591, 'FEED': 316, 'CARE': 319, 'PASS': 972, 'COLLECT_FERTILIZER': 244, 'HARVEST': 368, 'DROP': 99, 'DIG': 62, 'FERTILIZE': 73}",719,v023d_early_portfolio,19859.0,DONE,1,0,0,-1234.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 226, 'SELL_FERTILIZER': 80, 'SELL_WHEAT': 776, 'BUY_LAND': 2, 'SELL_MILK': 96, 'SELL_MELON': 23, 'SELL_STRAWBERRY': 6}",0.307125,fixed_replay,21093.0,DONE,0.048708,0.091208,0.132083,loss,0,90329192,1,high_output_14hands,131,1,97,17,17
"{'BUILD_PASTURE': 11, 'NORTH': 915, 'WEST': 928, 'PICKUP': 170, 'PLACE': 14, 'PLANT': 154, 'WATER': 925, 'EAST': 673, 'SOUTH': 608, 'FEED': 316, 'CARE': 322, 'PASS': 968, 'COLLECT_FERTILIZER': 248, 'HARVEST': 371, 'DROP': 101, 'DIG': 53, 'FERTILIZE': 73}",719,v023d_early_portfolio,65017.0,DONE,1,0,0,-96139.0,"{'BUY_ANIMAL': 8, 'BUY_SEED': 19, 'BUY_PRODUCT': 229, 'HIRE': 278, 'SELL': 260, 'SELL_FERTILIZER': 75, 'SELL_WHEAT': 812, 'BUY_LAND': 2, 'SELL_MILK': 125, 'SELL_MELON': 75, 'SELL_WOOL': 42, 'SELL_STRAWBERRY': 114}",0.359583,fixed_replay,161156.0,DONE,0.048709,0.087417,0.133208,loss,1,90329192,1,high_output_14hands,97,1,56,8,8
