actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source,v024_errors,v024_last_error,v024_order_memory_hits,v024_order_memory_reorders,v024_sell_clipped,v024_strict_r3_hits,v024_strict_r3_repayments,v024_strict_r3_units,v024_terminal_liquidations,v024_weed_abandoned,v024_weed_catchup_actions,v024_weed_repairs,v024_weed_retries
"{'PASS': 734, 'PICKUP': 8, 'WEST': 71, 'NORTH': 52, 'BUILD_PASTURE': 6, 'PLACE': 4, 'PLANT': 19, 'WATER': 43, 'FEED': 16, 'CARE': 16, 'SOUTH': 39, 'EAST': 46, 'DIG': 15, 'COLLECT_FERTILIZER': 24, 'HARVEST': 38, 'DROP': 16}",648,719,v024d_route14_strict_r3,5.0,DONE,1,-3509.0,"{'HIRE': 24, 'BUY_ANIMAL': 2, 'BUY_SEED': 2, 'BUY_PRODUCT': 1}",22.440291,starter,3514.0,DONE,0.117666,0.176875,0.343792,loss,0,17,local,648,"NameError(""name '_V024_math' is not defined"")",0,0,36,0,0,0,1,0,0,0,0
"{'PASS': 734, 'PICKUP': 8, 'WEST': 71, 'NORTH': 52, 'BUILD_PASTURE': 6, 'PLACE': 4, 'PLANT': 19, 'WATER': 43, 'FEED': 16, 'CARE': 16, 'SOUTH': 39, 'EAST': 46, 'DIG': 15, 'COLLECT_FERTILIZER': 24, 'HARVEST': 38, 'DROP': 16}",648,719,v024d_route14_strict_r3,5.0,DONE,1,-3509.0,"{'HIRE': 24, 'BUY_ANIMAL': 2, 'BUY_SEED': 2, 'BUY_PRODUCT': 1}",20.970958,starter,3514.0,DONE,0.11225,0.149834,0.330417,loss,1,17,local,648,"NameError(""name '_V024_math' is not defined"")",0,0,36,0,0,0,1,0,0,0,0
