actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 134, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 441, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,135031.0,DONE,1,-23580.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",2.621875,fixed_replay,158611.0,DONE,0.052,0.082791,0.14425,loss,0,1961900712,90342270.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 35, 'FERTILIZE': 103}",0,719,v022c_control,126543.0,DONE,1,-25438.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.373833,fixed_replay,151981.0,DONE,0.050333,0.082,0.18275,loss,1,1961900712,90342270.json
"{'BUILD_PASTURE': 12, 'NORTH': 966, 'WEST': 823, 'PICKUP': 242, 'PLACE': 12, 'PLANT': 131, 'WATER': 894, 'EAST': 632, 'SOUTH': 741, 'FEED': 305, 'CARE': 297, 'PASS': 424, 'COLLECT_FERTILIZER': 304, 'DROP': 93, 'HARVEST': 321, 'DIG': 34, 'FERTILIZE': 96}",0,719,v022c_control,8497.0,DONE,1,-172015.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.295584,fixed_replay,180512.0,DONE,0.051875,0.092084,0.216458,loss,0,1854235827,90342933.json
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 134, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 460, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",0,719,v022c_control,96936.0,DONE,1,-12114.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.25425,fixed_replay,109050.0,DONE,0.050583,0.075583,0.142708,loss,1,1854235827,90342933.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 35, 'FERTILIZE': 103}",0,719,v022c_control,106020.0,DONE,1,-17962.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.263625,fixed_replay,123982.0,DONE,0.051417,0.082125,0.122125,loss,0,870490286,90343744.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 877, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 441, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 37, 'FERTILIZE': 103}",0,719,v022c_control,105740.0,DONE,1,-18858.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.309,fixed_replay,124598.0,DONE,0.052125,0.083458,0.20275,loss,1,870490286,90343744.json
"{'BUILD_PASTURE': 12, 'NORTH': 868, 'WEST': 769, 'PICKUP': 225, 'PLACE': 12, 'PLANT': 130, 'WATER': 837, 'EAST': 591, 'SOUTH': 672, 'FEED': 289, 'CARE': 275, 'PASS': 379, 'COLLECT_FERTILIZER': 281, 'DROP': 89, 'HARVEST': 289, 'DIG': 30, 'FERTILIZE': 85}",0,719,v022c_control,5033.0,DONE,1,-174042.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.539084,fixed_replay,179075.0,DONE,0.050458,0.093583,0.220417,loss,0,1626452036,90345241.json
"{'BUILD_PASTURE': 12, 'NORTH': 932, 'WEST': 809, 'PICKUP': 234, 'PLACE': 12, 'PLANT': 131, 'WATER': 875, 'EAST': 624, 'SOUTH': 721, 'FEED': 299, 'CARE': 284, 'PASS': 404, 'COLLECT_FERTILIZER': 295, 'DROP': 94, 'HARVEST': 319, 'DIG': 31, 'FERTILIZE': 94}",0,719,v022c_control,7035.0,DONE,1,-175699.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.242333,fixed_replay,182734.0,DONE,0.05,0.089292,0.212833,loss,1,1626452036,90345241.json
"{'BUILD_PASTURE': 12, 'NORTH': 942, 'WEST': 802, 'PICKUP': 242, 'PLACE': 12, 'PLANT': 119, 'WATER': 864, 'EAST': 614, 'SOUTH': 717, 'FEED': 306, 'CARE': 286, 'PASS': 399, 'COLLECT_FERTILIZER': 299, 'DROP': 93, 'HARVEST': 320, 'DIG': 33, 'FERTILIZE': 98}",0,719,v022c_control,6811.0,DONE,1,-160570.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.274333,fixed_replay,167381.0,DONE,0.051209,0.087334,0.199958,loss,0,1117521613,90346724.json
"{'BUILD_PASTURE': 12, 'NORTH': 948, 'WEST': 803, 'PICKUP': 242, 'PLACE': 12, 'PLANT': 119, 'WATER': 870, 'EAST': 618, 'SOUTH': 719, 'FEED': 306, 'CARE': 287, 'PASS': 398, 'COLLECT_FERTILIZER': 300, 'DROP': 93, 'HARVEST': 320, 'DIG': 34, 'FERTILIZE': 99}",0,719,v022c_control,6763.0,DONE,1,-160450.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.366291,fixed_replay,167213.0,DONE,0.050291,0.084792,0.209375,loss,1,1117521613,90346724.json
