seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,wall_seconds,final_shed_MELON,final_shed_STRAWBERRY,final_shed_MILK,final_shed_WOOL,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,field_counts,market_counts,market_quantities,replay,variant,source,price_shocks,price_shocks_MILK,delayed_units,delayed_MILK,changed_market_actions,recoveries,recoveries_MILK,released_units,released_MILK,price_shocks_STRAWBERRY,delayed_STRAWBERRY,recoveries_STRAWBERRY,released_STRAWBERRY,terminal_flush_units,terminal_flush_MELON,terminal_flush_STRAWBERRY,terminal_flush_MILK,terminal_flush_WOOL,pending_MELON,pending_STRAWBERRY,pending_MILK,pending_WOOL,last_step,field_changed,nonpremium_changed,cash_guard_skips,no_premium_slot,base_WOOL,chosen_WOOL,released_WOOL,candidate_evaluations_WOOL,scenario_evaluations_WOOL,market_actions,base_STRAWBERRY,chosen_STRAWBERRY,candidate_evaluations_STRAWBERRY,scenario_evaluations_STRAWBERRY,base_MILK,chosen_MILK,candidate_evaluations_MILK,scenario_evaluations_MILK,base_MELON,chosen_MELON,released_MELON,candidate_evaluations_MELON,scenario_evaluations_MELON,adjusted_items,adjusted_MILK,adjusted_units,adjusted_STRAWBERRY,history,items,overlay_price_shocks,overlay_price_shocks_MILK,overlay_delayed_units,overlay_delayed_MILK,overlay_changed_market_actions,overlay_recoveries,overlay_recoveries_MILK,overlay_released_units,overlay_released_MILK,overlay_price_shocks_STRAWBERRY,overlay_delayed_STRAWBERRY,overlay_recoveries_STRAWBERRY,overlay_released_STRAWBERRY,overlay_terminal_flush_units,overlay_terminal_flush_MELON,overlay_terminal_flush_STRAWBERRY,overlay_terminal_flush_MILK,overlay_terminal_flush_WOOL,overlay_pending_MELON,overlay_pending_STRAWBERRY,overlay_pending_MILK,overlay_pending_WOOL,overlay_last_step,adjusted_WOOL,adjusted_MELON,price_shocks_WOOL,recoveries_WOOL,delayed_WOOL,overlay_price_shocks_WOOL,overlay_recoveries_WOOL,overlay_delayed_WOOL,overlay_released_WOOL
463865208,0,129047.0,133283.0,-4236.0,loss,DONE,DONE,1,2.818022999999812,0,0,0,0,719,0,0,0.0085,0.04803810000000008,0.06950650000000005,0.19475,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,control_v012,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463865208,0,129252.0,132952.0,-3700.0,loss,DONE,DONE,1,2.860684749990469,0,0,0,0,719,0,0,0.020875,0.0605461,0.08575650000000004,0.23375,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 484}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 691, ""SELL:STRAWBERRY"": 635, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 394}",89928050,control_v015a,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,22,8,10,5,20,13,6,9,5,14,5,7,4,55,12,13,9,21,0,0,0,0,718,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463865208,0,129295.0,133212.0,-3917.0,loss,DONE,DONE,1,2.876625042001251,0,0,0,0,719,0,0,0.0255,0.3017375000000001,0.5108425000000006,1.019833,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 482}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 691, ""SELL:STRAWBERRY"": 620, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 394}",89928050,curve_only,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,,,,,24,,,42,4,,,,38,,,,,,0,15,0,0,718,0,0,467,149,249,249,0,118,28,103,276,261,178,42,409,409,210,45,67,67,0,50,12,6,2,57,4,"[{""chosen"": {""WOOL"": 6}, ""expert"": ""automatylicza"", ""step"": 280}, {""chosen"": {""STRAWBERRY"": 6}, ""expert"": ""automatylicza"", ""step"": 292}, {""chosen"": {""MILK"": 9}, ""expert"": ""automatylicza"", ""step"": 293}, {""chosen"": {""MILK"": 12}, ""expert"": ""automatylicza"", ""step"": 294}, {""chosen"": {""MILK"": 9}, ""expert"": ""automatylicza"", ""step"": 301}, {""chosen"": {""MILK"": 6}, ""expert"": ""automatylicza"", ""step"": 302}, {""chosen"": {""MELON"": 12}, ""expert"": ""automatylicza"", ""step"": 306}, {""chosen"": {""MILK"": 2}, ""expert"": ""automatylicza"", ""step"": 308}, {""chosen"": {""WOOL"": 5}, ""expert"": ""automatylicza"", ""step"": 309}, {""chosen"": {""MILK"": 3}, ""expert"": ""automatylicza"", ""step"": 342}, {""chosen"": {""MILK"": 4, ""WOOL"": 7}, ""expert"": ""automatylicza"", ""step"": 348}, {""chosen"": {""WOOL"": 6}, ""expert"": ""automatylicza"", ""step"": 353}, {""chosen"": {""WOOL"": 6}, ""expert"": ""automatylicza"", ""step"": 354}, {""chosen"": {""WOOL"": 7}, ""expert"": ""automatylicza"", ""step"": 358}, {""chosen"": {""MELON"": 6, ""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 359}, {""chosen"": {""MILK"": 9, ""WOOL"": 4}, ""expert"": ""automatylicza"", ""step"": 366}, {""chosen"": {""MILK"": 12}, ""expert"": ""automatylicza"", ""step"": 371}, {""chosen"": {""WOOL"": 4}, ""expert"": ""automatylicza"", ""step"": 407}, {""chosen"": {""STRAWBERRY"": 5}, ""expert"": ""automatylicza"", ""step"": 417}, {""chosen"": {""WOOL"": 3}, ""expert"": ""automatylicza"", ""step"": 424}, {""chosen"": {""STRAWBERRY"": 8}, ""expert"": ""automatylicza"", ""step"": 436}, {""chosen"": {""MILK"": 8}, ""expert"": ""automatylicza"", ""step"": 438}, {""chosen"": {""MILK"": 4}, ""expert"": ""automatylicza"", ""step"": 440}, {""chosen"": {""MILK"": 5}, ""expert"": ""automatylicza"", ""step"": 443}, {""chosen"": {""WOOL"": 2}, ""expert"": ""automatylicza"", ""step"": 448}, {""chosen"": {""WOOL"": 2}, ""expert"": ""automatylicza"", ""step"": 449}, {""chosen"": {""MILK"": 6, ""STRAWBERRY"": 1}, ""expert"": ""automatylicza"", ""step"": 450}, {""chosen"": {""WOOL"": 1}, ""expert"": ""automatylicza"", ""step"": 460}, {""chosen"": {""STRAWBERRY"": 1}, ""expert"": ""automatylicza"", ""step"": 464}, {""chosen"": {""MILK"": 9, ""STRAWBERRY"": 2, ""WOOL"": 4}, ""expert"": ""automatylicza"", ""step"": 470}, {""chosen"": {""MILK"": 9, ""STRAWBERRY"": 10}, ""expert"": ""automatylicza"", ""step"": 471}, {""chosen"": {""STRAWBERRY"": 1}, ""expert"": ""automatylicza"", ""step"": 472}, {""chosen"": {""MILK"": 12}, ""expert"": ""automatylicza"", ""step"": 475}, {""chosen"": {""MILK"": 11}, ""expert"": ""automatylicza"", ""step"": 477}, {""chosen"": {""STRAWBERRY"": 6}, ""expert"": ""automatylicza"", ""step"": 478}, {""chosen"": {""MILK"": 15}, ""expert"": ""automatylicza"", ""step"": 484}, {""chosen"": {""STRAWBERRY"": 20}, ""expert"": ""automatylicza"", ""step"": 486}, {""chosen"": {""MILK"": 15}, ""expert"": ""automatylicza"", ""step"": 489}, {""chosen"": {""STRAWBERRY"": 2}, ""expert"": ""automatylicza"", ""step"": 492}, {""chosen"": {""STRAWBERRY"": 2}, ""expert"": ""automatylicza"", ""step"": 493}, {""chosen"": {""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 494}, {""chosen"": {""STRAWBERRY"": 2}, ""expert"": ""automatylicza"", ""step"": 497}, {""chosen"": {""STRAWBERRY"": 7}, ""expert"": ""automatylicza"", ""step"": 498}, {""chosen"": {""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 499}, {""chosen"": {""STRAWBERRY"": 2}, ""expert"": ""automatylicza"", ""step"": 501}, {""chosen"": {""MELON"": 2}, ""expert"": ""automatylicza"", ""step"": 510}, {""chosen"": {""MILK"": 0}, ""expert"": ""automatylicza"", ""step"": 520}, {""chosen"": {""MILK"": 3}, ""expert"": ""automatylicza"", ""step"": 521}, {""chosen"": {""MILK"": 1}, ""expert"": ""automatylicza"", ""step"": 524}, {""chosen"": {""MILK"": 3}, ""expert"": ""automatylicza"", ""step"": 525}, {""chosen"": {""STRAWBERRY"": 3}, ""expert"": ""automatylicza"", ""step"": 526}, {""chosen"": {""MELON"": 10, ""STRAWBERRY"": 2}, ""expert"": ""automatylicza"", ""step"": 527}, {""chosen"": {""MILK"": 20, ""WOOL"": 24}, ""expert"": ""automatylicza"", ""step"": 537}, {""chosen"": {""MILK"": 24}, ""expert"": ""automatylicza"", ""step"": 541}, {""chosen"": {""WOOL"": 44}, ""expert"": ""automatylicza"", ""step"": 542}, {""chosen"": {""STRAWBERRY"": 6}, ""expert"": ""automatylicza"", ""step"": 547}, {""chosen"": {""STRAWBERRY"": 6}, ""expert"": ""automatylicza"", ""step"": 548}, {""chosen"": {""WOOL"": 2}, ""expert"": ""automatylicza"", ""step"": 549}, {""chosen"": {""WOOL"": 12}, ""expert"": ""automatylicza"", ""step"": 550}, {""chosen"": {""STRAWBERRY"": 2}, ""expert"": ""automatylicza"", ""step"": 551}, {""chosen"": {""MELON"": 7}, ""expert"": ""automatylicza"", ""step"": 582}, {""chosen"": {""MILK"": 15}, ""expert"": ""automatylicza"", ""step"": 608}, {""chosen"": {""WOOL"": 3}, ""expert"": ""automatylicza"", ""step"": 616}, {""chosen"": {""STRAWBERRY"": 0}, ""expert"": ""automatylicza"", ""step"": 619}, {""chosen"": {""MELON"": 6}, ""expert"": ""automatylicza"", ""step"": 622}, {""chosen"": {""WOOL"": 2}, ""expert"": ""automatylicza"", ""step"": 627}, {""chosen"": {""WOOL"": 12}, ""expert"": ""automatylicza"", ""step"": 631}, {""chosen"": {""STRAWBERRY"": 25}, ""expert"": ""automatylicza"", ""step"": 632}, {""chosen"": {""MILK"": 15, ""STRAWBERRY"": 6}, ""expert"": ""automatylicza"", ""step"": 633}, {""chosen"": {""MILK"": 30, ""STRAWBERRY"": 25}, ""expert"": ""automatylicza"", ""step"": 637}, {""chosen"": {""MILK"": 9}, ""expert"": ""automatylicza"", ""step"": 656}, {""chosen"": {""MILK"": 9, ""STRAWBERRY"": 3, ""WOOL"": 1}, ""expert"": ""automatylicza"", ""step"": 657}, {""chosen"": {""WOOL"": 1}, ""expert"": ""automatylicza"", ""step"": 660}, {""chosen"": {""MILK"": 10, ""STRAWBERRY"": 3, ""WOOL"": 1}, ""expert"": ""automatylicza"", ""step"": 661}, {""chosen"": {""STRAWBERRY"": 14}, ""expert"": ""automatylicza"", ""step"": 664}, {""chosen"": {""STRAWBERRY"": 5}, ""expert"": ""automatylicza"", ""step"": 665}, {""chosen"": {""MILK"": 4}, ""expert"": ""automatylicza"", ""step"": 667}, {""chosen"": {""STRAWBERRY"": 10}, ""expert"": ""automatylicza"", ""step"": 668}, {""chosen"": {""STRAWBERRY"": 5}, ""expert"": ""automatylicza"", ""step"": 669}, {""chosen"": {""MILK"": 15}, ""expert"": ""automatylicza"", ""step"": 670}, {""chosen"": {""MILK"": 8}, ""expert"": ""automatylicza"", ""step"": 674}, {""chosen"": {""MILK"": 8}, ""expert"": ""automatylicza"", ""step"": 678}, {""chosen"": {""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 681}, {""chosen"": {""STRAWBERRY"": 3}, ""expert"": ""automatylicza"", ""step"": 682}, {""chosen"": {""MILK"": 9, ""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 685}, {""chosen"": {""MILK"": 13, ""STRAWBERRY"": 6}, ""expert"": ""automatylicza"", ""step"": 686}, {""chosen"": {""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 688}, {""chosen"": {""STRAWBERRY"": 8}, ""expert"": ""automatylicza"", ""step"": 689}, {""chosen"": {""STRAWBERRY"": 18}, ""expert"": ""automatylicza"", ""step"": 690}, {""chosen"": {""MILK"": 9}, ""expert"": ""automatylicza"", ""step"": 698}, {""chosen"": {""WOOL"": 22}, ""expert"": ""automatylicza"", ""step"": 699}, {""chosen"": {""MILK"": 11}, ""expert"": ""automatylicza"", ""step"": 702}, {""chosen"": {""MILK"": 3, ""WOOL"": 24}, ""expert"": ""automatylicza"", ""step"": 703}, {""chosen"": {""MELON"": 1}, ""expert"": ""automatylicza"", ""step"": 707}, {""chosen"": {""MELON"": 8, ""WOOL"": 12}, ""expert"": ""automatylicza"", ""step"": 709}, {""chosen"": {""MELON"": 3, ""MILK"": 9}, ""expert"": ""automatylicza"", ""step"": 710}, {""chosen"": {""MELON"": 1}, ""expert"": ""automatylicza"", ""step"": 711}, {""chosen"": {""MILK"": 12, ""WOOL"": 20}, ""expert"": ""automatylicza"", ""step"": 712}, {""chosen"": {""MELON"": 8, ""MILK"": 3, ""STRAWBERRY"": 8}, ""expert"": ""automatylicza"", ""step"": 713}, {""chosen"": {""MELON"": 3}, ""expert"": ""automatylicza"", ""step"": 714}, {""chosen"": {""MILK"": 3, ""WOOL"": 12}, ""expert"": ""automatylicza"", ""step"": 715}, {""chosen"": {""MILK"": 3}, ""expert"": ""automatylicza"", ""step"": 716}, {""chosen"": {""STRAWBERRY"": 4}, ""expert"": ""automatylicza"", ""step"": 717}]","{""MELON"": {""base"": 3, ""chosen"": 3, ""gain"": 0.0}, ""MILK"": {""base"": 3, ""chosen"": 3, ""gain"": 0.0}, ""STRAWBERRY"": {""base"": 3, ""chosen"": 4, ""gain"": 0.0}, ""WOOL"": {""base"": 12, ""chosen"": 12, ""gain"": 0.0}}",22,8,9,5,18,13,6,8,5,14,4,7,3,55,12,13,9,21,0,0,0,0,718,,,,,,,,,
