action_BUILD_PASTURE,action_CARE,action_COLLECT_FERTILIZER,action_DIG,action_DROP,action_EAST,action_FEED,action_FERTILIZE,action_HARVEST,action_NORTH,action_PASS,action_PICKUP,action_PLACE,action_PLANT,action_SOUTH,action_WATER,action_WEST,actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,v022e_abandoned,v022e_catchup_actions,v022e_catchup_releases,v022e_early_releases,v022e_repeat_suppressed,v022e_retry_failures,v022e_retry_success_first,v022e_retry_success_second,v022e_weed_repairs,v022e_weed_retries
12,292,306,36,94,628,308,102,332,969,413,243,11,131,753,891,833,"{'BUILD_PASTURE': 12, 'NORTH': 969, 'WEST': 833, 'PICKUP': 243, 'PLACE': 11, 'PLANT': 131, 'WATER': 891, 'EAST': 628, 'SOUTH': 753, 'FEED': 308, 'CARE': 292, 'PASS': 413, 'COLLECT_FERTILIZER': 306, 'DROP': 94, 'HARVEST': 332, 'DIG': 36, 'FERTILIZE': 102}",719,v022c_control,9456.0,DONE,1,0,0,-162946.0,44.765417,v022d,172402.0,DONE,0.054208,0.09425,0.218917,loss,0,317,,,,,,,,,,
12,292,305,36,94,628,308,102,332,969,413,243,11,131,754,891,833,"{'BUILD_PASTURE': 12, 'NORTH': 969, 'WEST': 833, 'PICKUP': 243, 'PLACE': 11, 'PLANT': 131, 'WATER': 891, 'EAST': 628, 'SOUTH': 754, 'FEED': 308, 'CARE': 292, 'PASS': 413, 'COLLECT_FERTILIZER': 305, 'DROP': 94, 'HARVEST': 332, 'DIG': 36, 'FERTILIZE': 102}",719,v022c_control,9451.0,DONE,1,0,0,-163019.0,0.310458,v022d,172470.0,DONE,0.047084,0.064,0.083333,loss,1,317,,,,,,,,,,
12,236,260,31,83,526,282,78,291,814,348,208,11,109,610,745,680,"{'BUILD_PASTURE': 12, 'NORTH': 814, 'WEST': 680, 'PICKUP': 208, 'PLACE': 11, 'PLANT': 109, 'WATER': 745, 'EAST': 526, 'SOUTH': 610, 'FEED': 282, 'CARE': 236, 'PASS': 348, 'COLLECT_FERTILIZER': 260, 'DROP': 83, 'HARVEST': 291, 'DIG': 31, 'FERTILIZE': 78}",719,v022c_control,5841.0,DONE,1,0,0,-173081.0,28.385458,v022d,178922.0,DONE,0.050917,0.092833,0.243459,loss,0,733,,,,,,,,,,
12,241,264,27,87,533,287,82,297,818,351,209,11,103,621,744,688,"{'BUILD_PASTURE': 12, 'NORTH': 818, 'WEST': 688, 'PICKUP': 209, 'PLACE': 11, 'PLANT': 103, 'WATER': 744, 'EAST': 533, 'SOUTH': 621, 'FEED': 287, 'CARE': 241, 'PASS': 351, 'COLLECT_FERTILIZER': 264, 'DROP': 87, 'HARVEST': 297, 'DIG': 27, 'FERTILIZE': 82}",719,v022c_control,6705.0,DONE,1,0,0,-161584.0,0.17575,v022d,168289.0,DONE,0.044292,0.05975,0.076125,loss,1,733,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,103642.0,DONE,1,0,0,1318.0,0.319459,v18,102324.0,DONE,0.053291,0.084666,0.101833,win,0,17,,,,,,,,,,
14,322,324,31,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022c_control,104616.0,DONE,1,0,0,3055.0,0.382083,v18,101561.0,DONE,0.051583,0.074334,0.092041,win,1,17,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,130518.0,DONE,1,0,0,3452.0,0.320875,v18,127066.0,DONE,0.054584,0.083292,0.206,win,0,42,,,,,,,,,,
14,322,324,33,100,671,323,103,341,1029,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1029, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",719,v022c_control,129738.0,DONE,1,0,0,3175.0,0.325666,v18,126563.0,DONE,0.051917,0.072875,0.105208,win,1,42,,,,,,,,,,
14,322,324,34,100,671,323,103,341,1030,461,262,14,135,792,936,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 936, 'EAST': 671, 'SOUTH': 792, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 34, 'FERTILIZE': 103}",719,v022c_control,144444.0,DONE,1,0,0,2030.0,0.406292,v18,142414.0,DONE,0.054375,0.083208,0.132792,win,0,2026,,,,,,,,,,
14,322,324,32,99,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 99, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,150397.0,DONE,1,0,0,2923.0,0.092417,v18,147474.0,DONE,0.050666,0.069875,0.083667,win,1,2026,,,,,,,,,,
