phase,candidate,opponent,seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,agent_errors,hand_shape_mismatches,market_overflows,action_calls,runtime_p99_ms,runtime_max_ms,wall_seconds,daily_cash,field_counts,market_counts
final,automatylicza_overlay_combined,baseline,733,0,159652.0,105862.0,53790.0,win,DONE,DONE,1,0,0,0,719,0.1772,0.2482,3.9129002999980003,"{""0"": 14.0, ""1"": 140.0, ""10"": 2988.0, ""11"": 5396.0, ""12"": 12638.0, ""13"": 10832.0, ""14"": 17596.0, ""15"": 22918.0, ""16"": 25412.0, ""17"": 31668.0, ""18"": 37926.0, ""19"": 47136.0, ""2"": 217.0, ""20"": 55499.0, ""21"": 60302.0, ""22"": 74005.0, ""23"": 84042.0, ""24"": 92927.0, ""25"": 110379.0, ""26"": 118612.0, ""27"": 126425.0, ""28"": 132836.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1687.0, ""7"": 1034.0, ""8"": 937.0, ""9"": 1099.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,baseline,733,1,166725.0,107848.0,58877.0,win,DONE,DONE,1,0,0,0,719,0.0946,0.1733,3.898715599963907,"{""0"": 14.0, ""1"": 140.0, ""10"": 2988.0, ""11"": 5396.0, ""12"": 12638.0, ""13"": 10832.0, ""14"": 17596.0, ""15"": 22938.0, ""16"": 25498.0, ""17"": 31917.0, ""18"": 38488.0, ""19"": 48191.0, ""2"": 217.0, ""20"": 57316.0, ""21"": 62419.0, ""22"": 76814.0, ""23"": 87534.0, ""24"": 97511.0, ""25"": 114903.0, ""26"": 123816.0, ""27"": 132519.0, ""28"": 139183.0, ""3"": 850.0, ""4"": 582.0, ""5"": 735.0, ""6"": 1687.0, ""7"": 1034.0, ""8"": 937.0, ""9"": 1099.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,v012,17,0,143061.0,149929.0,-6868.0,loss,DONE,DONE,1,0,21,0,719,0.1199,0.4173,3.6234826000290923,"{""0"": 10.0, ""1"": 141.0, ""10"": 2951.0, ""11"": 5154.0, ""12"": 12744.0, ""13"": 10953.0, ""14"": 16346.0, ""15"": 20960.0, ""16"": 23353.0, ""17"": 28730.0, ""18"": 35248.0, ""19"": 44464.0, ""2"": 217.0, ""20"": 53482.0, ""21"": 58801.0, ""22"": 71114.0, ""23"": 81018.0, ""24"": 88260.0, ""25"": 102965.0, ""26"": 109409.0, ""27"": 115087.0, ""28"": 120112.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1502.0, ""7"": 816.0, ""8"": 862.0, ""9"": 909.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,v012,17,1,149929.0,143061.0,6868.0,win,DONE,DONE,1,0,21,0,719,0.1293,0.309,3.498002299980726,"{""0"": 10.0, ""1"": 141.0, ""10"": 3234.0, ""11"": 6810.0, ""12"": 14427.0, ""13"": 12636.0, ""14"": 18094.0, ""15"": 23242.0, ""16"": 25690.0, ""17"": 31939.0, ""18"": 38457.0, ""19"": 47673.0, ""2"": 217.0, ""20"": 56691.0, ""21"": 61610.0, ""22"": 74947.0, ""23"": 84927.0, ""24"": 92202.0, ""25"": 107899.0, ""26"": 114559.0, ""27"": 120293.0, ""28"": 125090.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1594.0, ""7"": 929.0, ""8"": 975.0, ""9"": 1109.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,v012,42,0,131077.0,131180.0,-103.0,loss,DONE,DONE,1,0,21,0,719,0.1275,0.4618,3.5325732000055723,"{""0"": 10.0, ""1"": 141.0, ""10"": 2953.0, ""11"": 6654.0, ""12"": 13833.0, ""13"": 11906.0, ""14"": 18571.0, ""15"": 23607.0, ""16"": 25687.0, ""17"": 31335.0, ""18"": 36786.0, ""19"": 44747.0, ""2"": 217.0, ""20"": 51342.0, ""21"": 55177.0, ""22"": 66846.0, ""23"": 75185.0, ""24"": 83021.0, ""25"": 96172.0, ""26"": 101359.0, ""27"": 106567.0, ""28"": 109510.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1595.0, ""7"": 922.0, ""8"": 622.0, ""9"": 798.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,v012,42,1,131180.0,131077.0,103.0,win,DONE,DONE,1,0,21,0,719,0.1088,0.225,3.7493173999828286,"{""0"": 10.0, ""1"": 141.0, ""10"": 2953.0, ""11"": 6654.0, ""12"": 13833.0, ""13"": 11906.0, ""14"": 18571.0, ""15"": 23607.0, ""16"": 25687.0, ""17"": 31335.0, ""18"": 36786.0, ""19"": 44747.0, ""2"": 217.0, ""20"": 51342.0, ""21"": 55177.0, ""22"": 66846.0, ""23"": 75185.0, ""24"": 82678.0, ""25"": 96488.0, ""26"": 101675.0, ""27"": 106697.0, ""28"": 109547.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1595.0, ""7"": 922.0, ""8"": 622.0, ""9"": 798.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,v012,2026,0,110046.0,107955.0,2091.0,win,DONE,DONE,1,0,21,0,719,0.1298,0.3457,3.6659758999594487,"{""0"": 10.0, ""1"": 141.0, ""10"": 2862.0, ""11"": 6394.0, ""12"": 13543.0, ""13"": 11464.0, ""14"": 16351.0, ""15"": 20693.0, ""16"": 21920.0, ""17"": 25995.0, ""18"": 29636.0, ""19"": 35464.0, ""2"": 217.0, ""20"": 42042.0, ""21"": 45871.0, ""22"": 53375.0, ""23"": 61204.0, ""24"": 69182.0, ""25"": 80715.0, ""26"": 85146.0, ""27"": 89684.0, ""28"": 91847.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1594.0, ""7"": 928.0, ""8"": 615.0, ""9"": 744.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}"
final,automatylicza_overlay_combined,v012,2026,1,107955.0,110046.0,-2091.0,loss,DONE,DONE,1,0,21,0,719,0.095,0.3244,3.5979299999889918,"{""0"": 10.0, ""1"": 141.0, ""10"": 2862.0, ""11"": 6394.0, ""12"": 13543.0, ""13"": 11464.0, ""14"": 16351.0, ""15"": 20693.0, ""16"": 21920.0, ""17"": 25995.0, ""18"": 29636.0, ""19"": 35464.0, ""2"": 217.0, ""20"": 42042.0, ""21"": 45871.0, ""22"": 53415.0, ""23"": 60837.0, ""24"": 68457.0, ""25"": 78788.0, ""26"": 83219.0, ""27"": 87604.0, ""28"": 89745.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1594.0, ""7"": 928.0, ""8"": 615.0, ""9"": 744.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 450}"
final,automatylicza_overlay_combined,v012,217,0,103544.0,103313.0,231.0,win,DONE,DONE,1,0,21,0,719,0.165,0.7702,3.801267300033942,"{""0"": 10.0, ""1"": 141.0, ""10"": 2493.0, ""11"": 6194.0, ""12"": 12377.0, ""13"": 9948.0, ""14"": 16283.0, ""15"": 20626.0, ""16"": 22128.0, ""17"": 27184.0, ""18"": 32028.0, ""19"": 39032.0, ""2"": 217.0, ""20"": 44630.0, ""21"": 47797.0, ""22"": 58017.0, ""23"": 65013.0, ""24"": 70521.0, ""25"": 80004.0, ""26"": 82053.0, ""27"": 84233.0, ""28"": 84805.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1595.0, ""7"": 922.0, ""8"": 162.0, ""9"": 338.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
final,automatylicza_overlay_combined,v012,217,1,103313.0,103544.0,-231.0,loss,DONE,DONE,1,0,21,0,719,0.1249,0.4388,3.8568084000144154,"{""0"": 10.0, ""1"": 141.0, ""10"": 2493.0, ""11"": 6194.0, ""12"": 12377.0, ""13"": 9948.0, ""14"": 16283.0, ""15"": 20626.0, ""16"": 22128.0, ""17"": 27184.0, ""18"": 32028.0, ""19"": 39032.0, ""2"": 217.0, ""20"": 44630.0, ""21"": 47797.0, ""22"": 58017.0, ""23"": 65013.0, ""24"": 70690.0, ""25"": 80141.0, ""26"": 82190.0, ""27"": 84363.0, ""28"": 84956.0, ""3"": 786.0, ""4"": 519.0, ""5"": 654.0, ""6"": 1595.0, ""7"": 922.0, ""8"": 162.0, ""9"": 338.0}","{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 376, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 320, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}"
