candidate,candidate_money,candidate_probe,candidate_status,diagnostics,done,margin,opponent,opponent_money,opponent_probe,opponent_status,result,seat,seed
v27_x_v22,206638.0,"{'calls': 719, 'errors': 0, 'invalid': 0, 'p50_ms': 0.07625, 'p95_ms': 0.144667, 'p99_ms': 0.296875, 'max_ms': 0.437375, 'ops': {'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}, 'sell_units': {'FERTILIZER': 233, 'WHEAT': 828, 'WOOL': 164, 'MILK': 237, 'MELON': 144, 'STRAWBERRY': 313}}",DONE,{},1,203124.0,starter,3514.0,{},DONE,W,0,17
v27_x_v22,206638.0,"{'calls': 719, 'errors': 0, 'invalid': 0, 'p50_ms': 0.077833, 'p95_ms': 0.13975, 'p99_ms': 0.26975, 'max_ms': 59.723209, 'ops': {'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}, 'sell_units': {'FERTILIZER': 233, 'WHEAT': 828, 'WOOL': 164, 'MILK': 237, 'MELON': 144, 'STRAWBERRY': 313}}",DONE,{},1,203124.0,starter,3514.0,{},DONE,W,1,17
