actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,source,v023_route_fallbacks,v023_route_selected,v023_sell_clipped,v023_terminal_liquidations,v023_weed_catchup_actions,v023_weed_repairs,v023_weed_retries
"{'PASS': 995, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 46, 'FERTILIZE': 73}",719,v023d_early_portfolio,127185.0,DONE,1,0,0,-3610.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 792, 'SELL_WOOL': 163, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 120, 'SELL_STRAWBERRY': 265}",0.276834,fixed_replay,130795.0,DONE,0.048875,0.079292,0.129417,loss,0,90326842,0,high_output_14hands,18,1,7,1,1
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,127192.0,DONE,1,0,0,-3494.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 792, 'SELL_WOOL': 163, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 120, 'SELL_STRAWBERRY': 265}",0.356958,fixed_replay,130686.0,DONE,0.047958,0.07775,0.242166,loss,1,90326842,0,high_output_14hands,18,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,147167.0,DONE,1,0,0,643.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.326042,fixed_replay,146524.0,DONE,0.048083,0.076834,0.106125,win,0,90327778,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,146310.0,DONE,1,0,0,1975.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.353083,fixed_replay,144335.0,DONE,0.048083,0.079583,0.106167,win,1,90327778,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,126505.0,DONE,1,0,0,-7904.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 317, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 784, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 128, 'SELL_STRAWBERRY': 279}",0.26325,fixed_replay,134409.0,DONE,0.048875,0.080209,0.198709,loss,0,90328299,0,high_output_14hands,15,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,123184.0,DONE,1,0,0,-1579.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 788, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 124, 'SELL_STRAWBERRY': 271}",0.286,fixed_replay,124763.0,DONE,0.048083,0.079791,0.108375,loss,1,90328299,0,high_output_14hands,17,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,133804.0,DONE,1,0,0,-572.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 160, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.329208,fixed_replay,134376.0,DONE,0.0485,0.079,0.134208,loss,0,90328370,0,high_output_14hands,16,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,126008.0,DONE,1,0,0,3469.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.415125,fixed_replay,122539.0,DONE,0.048333,0.078166,0.106834,win,1,90328370,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,144362.0,DONE,1,0,0,-2693.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 169, 'SELL_WHEAT': 792, 'SELL_WOOL': 163, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 120, 'SELL_STRAWBERRY': 265}",0.293708,fixed_replay,147055.0,DONE,0.049209,0.081792,0.220834,loss,0,90328423,0,high_output_14hands,18,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 923, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 46, 'FERTILIZE': 73}",719,v023d_early_portfolio,129905.0,DONE,1,0,0,-3056.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 315, 'SELL_FERTILIZER': 171, 'SELL_WHEAT': 792, 'SELL_WOOL': 163, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 120, 'SELL_STRAWBERRY': 259}",0.40275,fixed_replay,132961.0,DONE,0.0485,0.080375,0.107917,loss,1,90328423,0,high_output_14hands,19,1,7,1,1
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,174843.0,DONE,1,0,0,154810.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 316, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 783, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 129, 'SELL_STRAWBERRY': 281}",0.383833,fixed_replay,20033.0,DONE,0.047667,0.077625,0.094833,win,0,90329192,0,high_output_14hands,14,1,0,0,0
"{'PASS': 996, 'PICKUP': 166, 'WEST': 924, 'NORTH': 910, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 921, 'FEED': 314, 'CARE': 322, 'EAST': 674, 'COLLECT_FERTILIZER': 250, 'SOUTH': 602, 'DROP': 102, 'HARVEST': 372, 'DIG': 45, 'FERTILIZE': 73}",719,v023d_early_portfolio,136121.0,DONE,1,0,0,1141.0,"{'HIRE': 275, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 245, 'SELL': 317, 'SELL_FERTILIZER': 170, 'SELL_WHEAT': 784, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 231, 'SELL_MELON': 128, 'SELL_STRAWBERRY': 279}",0.372666,fixed_replay,134980.0,DONE,0.048041,0.07725,0.124542,win,1,90329192,0,high_output_14hands,15,1,0,0,0
